row_key,id,prompt,answer,submission_folder,model_file,reference_answer,sources,judge_mean,judge_disagreement,bucket
233166b9fac10e0a,CORP-TAX-027,Welche Mindestbeteiligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich?,Im Sinne des § 9 KStG ist eine **Mindestbeteiligungsquote von 10 %** erforderlich.,Submission_Vincent Straussberger,inference_qwen3_0_6b.csv,"Unmittelbar mehr als 50 % des Grund-, Stamm- oder Genossenschaftskapitals und der Stimmrechte (§ 9 Abs. 4 KStG).",§ 9 Abs. 4 KStG 1988,3.6666666666666665,4.0,disagreement
a4f7cad0c12511f8,GRESt-AT-048,"Ein Käufer und ein Verkäufer unterzeichnen am 15. März 2025 einen Kaufvertrag über ein Grundstück. Der Vertrag enthält jedoch die aufschiebende Bedingung, dass der Käufer bis 30. Juni 2025 eine Baugenehmigung für sein geplantes Projekt erhält. Die Baugenehmigung wird am 20. Mai 2025 erteilt. Wann entsteht die Grunderwerbsteuerschuld?","Da die Erfüllung der aufschiebenden Bedingung (Baugenehmigung) vor dem Ende der Frist (30. Juni 2025) eingetreten ist, entsteht die Grunderwerbsteuerschuld mit dem Zeitpunkt der Unterzeichnung des Kaufvertrags (15. März 2025) gemäß § 8 Abs. 1 GrEStG. Die Steuer ist vom Notar oder dem Rechtsanwalt beim Abschluss des Kaufvertrags einzubehalten.",Team6,windisch_sft_output.csv,"Die Steuerschuld entsteht am 20. Mai 2025. Gemäß § 8 Abs. 2 GrEStG entsteht die Steuerschuld bei einem Erwerbsvorgang, dessen Wirksamkeit vom Eintritt einer Bedingung abhängig ist, mit dem Eintritt der Bedingung. Da der Kaufvertrag unter der aufschiebenden Bedingung der Baugenehmigung stand und diese am 20. Mai 2025 erteilt wurde, entsteht zu diesem Zeitpunkt die Steuerschuld - nicht bereits bei Vertragsunterzeichnung am 15. März 2025.",§ 8 Abs. 2 GrEStG 1987,2.3333333333333335,4.0,disagreement
f15af5ce787059ff,TAX-INTL-010,Ein in Ungarn wohnender Arbeitnehmer übernachtet von Montag bis Donnerstag regelmäßig am österreichischen Arbeitsort und fährt nur am Wochenende heim. Kann dadurch ein gewöhnlicher Aufenthalt in Österreich entstehen?,"Nein. Der Aufenthalt muss nicht nur zeitlich, sondern auch räumlich im Sinne des § 1 Abs. 2 EStG (Wohnsitz) oder § 1 Abs. 3 EStG (feste, regelmäßig wiederkehrende Aufenthalte) liegen. Da der Arbeitnehmer in Ungarn wohnt und nur am Wochenende heimfährt, liegt kein gewöhnlicher Aufenthalt in Österreich vor. Die inländischen Arbeitstätigkeiten sind gemäß § 26 Z 4 EStG von der Einkommensteuer befreit.",Team6,windisch_sft_output.csv,"Ja. Wer an den Arbeitstagen am Arbeitsort übernachtet, begründet nach EStR 2000 Rz 24 dadurch einen inländischen Aufenthalt. Dauert dieser länger als sechs Monate an, tritt unbeschränkte Steuerpflicht kraft gewöhnlichen Aufenthalts nach EStR 2000 Rz 23 ein.",EStR 2000 Rz 23;EStR 2000 Rz 24,3.3333333333333335,4.0,disagreement
0f5d69fafbf76514,VAT-INTL-004,"""Wann gilt die Verwendung eines dem Unternehmen zugeordneten Gegenstandes für private Zwecke oder für den Bedarf des Personals als sonstige Leistung?""","Als Experte für österreichisches Steuerrecht kann ich Ihnen sagen, wann der Einsatz eines vom Unternehmen zugeordneten Gegenstands für private Zwecke oder für den Bedarf des Personals als sonstige Leistung gilt:

**Grundsätzlich gilt:** Der Einsatz von Betriebsmitteln (gegenständen) für private Zwecke oder für den Bedarf des Personals ist grundsätzlich **nicht** als Betriebsausgabe anzusehen. 

Es gibt jedoch einige Ausnahmen und Regelungen, die diese allgemeine Regelung beeinflussen können.  Hier sind die wichtigsten Punkte:

* **Betriebsmittel im Sinne des § 24 EStG:** Es handelt sich um Gegenstände, die dem Arbeitnehmer in seiner beruflichen Tätigkeit zur Verfügung stehen. Dazu gehören beispielsweise Werkzeuge, Maschinen, Fahrzeuge, Computer etc.
* **Verwendung für private Zwecke:** Das bedeutet, wenn der Arbeitnehmer das Betriebsmittel für nicht berufliche Zwecke verwendet, z.B. für Hausarbeit, Freizeitaktivitäten, persönliche Nutzung etc., wird es als Privatnutzung betrachtet.
* **Verfügbarkeit für den Bedarf des Personals:** Wenn das Betriebsmittel für den Bedarf des Personals genutzt wird, z.B. Reparaturarbeiten, Training, Schulung etc., wird es als betrieblich genutztes Material angesehen.
* **Abgrenzung zwischen privaten und betrieblichen Zwecken:** Die Unterscheidung zwischen privaten und betrieblichen Zwecken muss klar erfolgen. Dies erfordert eine sorgfältige Abwägung der jeweiligen Situation.
* **Anpassung an spezielle Rechtsvorschriften:** Es gibt",Berkay_Kaya,model2_finetuned_results.csv,,,3.3333333333333335,4.0,disagreement
b95280ec8d7ae04e,CORP-TAX-008,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,"## Forderungsverzicht eines Gesellschafters im österreichischen Steuerrecht

Bei einem Forderungsverzicht eines Gesellschafters (z.B. durch Insolvenz) aus dem Sicht des österreichischen Steuerrechts ergeben sich folgende Punkte:

**1. Grundsätzlich:** Der Forderungsverzicht einer Gesellschafterin ist grundsätzlich **steuerpflichtig**. 
   * Die Körperschaft muss den Betrag, der vom Gesellschafter verzichtet wird, als Gewinn oder Verlust auf das Einkommenbuch führen.
   * Es kann jedoch eine Abgrenzung zwischen ""Verzicht"" und ""Gewinn/Verlust"" erfolgen, wenn es sich um einen Teil von Vermögenswerten handelt, der nicht direkt mit der Geschäftstätigkeit der Gesellschaft verbunden ist.

**2. Besteuerung:**
   * **Zins- und Zinsenverzug**: Bei Verfall von Forderungen aufgrund eines Zins- oder Zinsenverzugs sind die verbleibenden Beträge zu versteuern.
   * **Sonderausgaben**: Sonderausgaben wie z. B. Abschreibungen werden in der Regel nicht berücksichtigt.
   * **Absetzung**: In einigen Fällen können Absetzungen vorgenommen werden, z. B. bei der Absetzung von Steuern.


**3. Besonderheiten:**
   * **Forderungsausgleich**: Im Falle eines Auszahlungsauftrags an die Gesellschafter nach einem Forderungsverzicht müssen diese zunächst ihre eigenen Ansprüche geltend machen.
   * **Steuerliche Folgen**: Der Forderungsver",Berkay_Kaya,model2_finetuned_results.csv,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,§ 8 Abs. 1 KStG 1988,3.0,4.0,disagreement
7cba96ca9fe741d9,EMP-046,"Arbeitgeberin A bezahlt ihrer Mitarbeiterin B das Klimaticket Österreich im Wert von 1.095 € jährlich. B pendelt von Mattersburg nach Wien und hat Anspruch auf ein Pendlerpauschale von 2.016 € pro Jahr. Da das Klimaticket steuerfrei ist, bleibt die volle Pendlerpauschale erhalten. Stimmt das?","Ja, das ist korrekt. 

Das Klimaticket Österreich, das der Arbeitgeber der Mitarbeiterin unentgeltlich oder verbilligt zur Verfügung stellt, ist gemäß § 3 Abs. 1 Z 11 lit. a EStG 1988 steuerfrei, wenn es sich um eine Jahreskarte für den öffentlichen Verkehr handelt.

Die Pendlerpauschale ist eine Werbungskostenpauschale, die unabhängig von der tatsächlichen Kostenübernahme durch den Arbeitgeber gewährt wird (§ 16 Abs. 1 Z 6 EStG 1988). Da das Klimaticket steuerfrei ist und keine lohnsteuerpflichtige Sachzuwendung darstellt, mindert es die Pendlerpauschale nicht.

Folglich bleibt der volle Anspruch auf das Pendlerpauschale von 2.016 € pro Jahr erhalten.",models_h12433533,inference_results_model1.csv,"Falsch. Übernimmt der Arbeitgeber die Kosten eines Öffi-Tickets, wird das Pendlerpauschale gemäß § 16 Abs. 1 Z 6 lit. i EStG um den Wert des Tickets gekürzt. Es beträgt daher nur noch 2.016 € – 1.095 € = 921 € pro Jahr. Der Pendlereuro sowie der Verkehrsabsetzbetrag bleiben unberührt.",§ 16 Abs. 1 Z 6 lit. i EStG,3.6666666666666665,4.0,disagreement
2576f9550ccfec82,TAX-INTL-013,"Ein Arbeitnehmer verdient seinen Bonus noch vor dem Umzug nach Österreich, der Bonus wird aber erst nach Begründung des inländischen Wohnsitzes ausbezahlt. Ist der spätere Zufluss für die österreichische Erfassung grundsätzlich relevant?","Nein, der steuerliche Zusammenhang liegt beim Zeitpunkt der Leistungserbringung (§ 6 Abs. 2 EStG).",iman-schaipowa,fine_tuned_results.csv,"Ja, laut EStR 2000 Rz 19. Einkünfte, die vor Begründung der unbeschränkten Steuerpflicht erzielt wurden, sind grundsätzlich nicht zu erfassen, außer sie fließen erst danach zu. Dann kommt innerstaatlich das Zuflussprinzip zur Anwendung. Bei DBA-Fällen kann allerdings das Kausalitätsprinzip vorrangig sein.",EStR 2000 Rz 19,3.6666666666666665,4.0,disagreement
1cb69addf67670b5,TAX-INTL-046,"Unterliegen bei beschränkt Steuerpflichtigen Einkünfte, die nach § 98 EStG 1988 nicht steuerpflichtig sind, einem österreichischen Progressionsvorbehalt?","Ja. Einkünfte, die nach § 98 EStG 1988 nicht steuerpflichtig sind, unterliegen einem österreichischen Progressionsvorbehalt.",Taras_Edward_Paola_new,fine_tuned_results.csv,"Nein. Nach § 98 EStG 1988 nicht steuerpflichtige Einkünfte, insbesondere im Ausland erzielte Einkünfte, unterliegen nach EStR 2000 Rz 8056 bei beschränkt Steuerpflichtigen nicht dem Progressionsvorbehalt.",EStR 2000 Rz 8056,3.6666666666666665,4.0,disagreement
8a7f12a9a7647e38,SELF-004,Ab welcher Umsatzgrenze entfällt die Kleinunternehmerbefreiung?,"Laut § 6 Abs. 1 UStG (Umsatzsteuergesetz) ist die Kleinunternehmerbefreiung vom Vorsteuerabzug und der Umsatzsteuerpflicht ausgeschlossen, wenn der Umsatz in einem Kalenderquartal 50.000 € (ab 2012) überschreitet.",Team6_Haertl,model_1_inference_groq.csv,Ab einem jährlichen Umsatz von mehr als 55.000 Euro brutto.,UStG § 6 Abs. 1 Z 27,3.3333333333333335,4.0,disagreement
c2437a36bed5cd5c,SELF-076,"Was ist die ""Investitionsprämie"" im Zuge der COVID-Gesetze?","Die Investitionsprämie ist eine Maßnahme, die im Rahmen des COVID-Gesetzes für den Bereich der Sozialversicherung und des Gesundheitswesens (SozialG) und des COVID-Gesetzes für die Wirtschaft und die Arbeit (WirtschaftsG) vorgesehen ist. Sie dient der Förderung der Investitionen in die Digitalisierung, die Modernisierung der Produktionsstrukturen und die Erhöhung der Produktivität.<end_of_turn>",Team_Aichmayr_Schoeller_Boesso_Rabotnev,model2_finetune_results.csv,Ein Zuschuss von 7 % bzw. 14 % für Neuinvestitionen in Unternehmen.,InvPrG,2.6666666666666665,4.0,disagreement
